breed,color,bite_location
germ shepherd,sable,body
am. eskimo,white,body
poodle,red brn,body
min pin,blc,body
pit bull,NA,body
labrador retriv,black,body
pit bull,gry wht,body
pit bull,gry wht,body
pit bull,blk wht,body
aaust. terr.,tri,body
cocker spainel,wht buff,body
pit bull,red,body
cane corso,brindle,body
pit bull,blk wht,body
border collie,blk wht,body
alask. malamute,wht brn,head
husky,brn,body
pit bull,brown,body
pit bull,NA,body
pit bull,NA,NA
beagle,tri,unknown
pit bull,wht brn,body
pit bull,brn wht,body
pit bull,blue wht,body
boxer,brn wht,body
pit bull,blk wht,body
pit bull,blk wht,body
germ shepherd,brn tan,unknown
boxer,tan,body
beagle,white tan,unknown
min pin,black,unknown
husky,white,body
germ shepherd,brn wht,body
lakeland ter.,yellow,body
pit bull,blk wht,body
chichauhua,blk brn,unknown
great dane,blck,body
labrador retriv,black,body
pit bull,blue,body
yorkshire terrier,brn,body
great pyreneese,wht tan,body
germ shepherd,blk sable,body
pit bull,brdle wht,body
pit bull,NA,body
bearded collie,gry wht,body
pit bull,brn wht,head
pit bull,brn/wht,head
pit bull,brown,body
coon hound,blk/tan,body
pit bull,wht/tan,NA
mastif,red,body
husky,wht/blk,body
pit bull,tan/wht,body
gold retriever,wht/gold,head
pit bull,tan,body
pit bull,brown,body
pit bull,brn/wht,NA
pit bull,brn/wht,head
pit bull,brn/wht,body
pekingese,tri/clr,body
pit bull,fawn,body
poodle,brown,body
pit bull,brn wht,body
bull dog,wht beige,body
greyhound,black,head
pit bull,brn wht,body
welsh corgi,brn wht,body
pit bull,tan wht,body
pit bull,tan,body
germ shepherd,tri,body
pit bull,wht gry,head
boxer,fawn,body
labrador retriv,blk,head
pit bull,black,body
black lab,black,body
pit bull,brn wht,body
pit bull,white,head
pit bull,brown,body
aaust. terr.,black,head
shih tzu,blk gry,body
min pin,blk brn,head
pit bull,brn wht,body
beagle,tan blk,unknown
chichauhua,NA,unknown
chow chow,brown,unknown
cocker spainel,blk wht,body
gold retriever,NA,unknown
pit bull,blk wht,body
pit bull,blk wht,body
pit bull,wht brn,body
pit bull,blk wht,body
siberan husky,wht,body
boxer,blk wht,body
germ shepherd,blk brn,body
collie,NA,body
pit bull,NA,head
pit bull,blk brn,body
germ shepherd,blk brn,body
pit bull,tan wht,unknown
shih tzu,wht gry,body
bullmastiff,tan blue,body
mastif,blk wht,unknown
labrador retriv,black,body
bullmastiff,tan blue,body
labrador retriv,black,body
pit bull,brn,body
germ shepherd,brn blk,body
pit bull,brn wht,body
gold retriever,yellow,body
germ shepherd,brn tan,body
pit bull,tan wht,body
chichauhua,blk tan,body
poodle,white,body
pit bull,wht gry,body
boxer,brindle,body
chichauhua,blk wht,unknown
chow chow,NA,body
cane corso,blue,body
labrador retriv,white,NA
chichauhua,tan wht,body
aaust. terr.,brn/wht,NA
corgi,blk,body
labrador retriv,lgt brn,unknown
other,wht/ brn,body
husky,wht,head
shih tzu,lght brn,body
toy poodle,blk,unknown
other,brn /wht,head
pit bull,gray,body
border collie m,blk wht,body
pit bull,blue wht,body
rottweiler,black,head
border collie,brn wht,unknown
aaust. terr.,brn wht,head
pit bull,NA,body
pit bull,tan,unknown
pit bull,brindle,body
other,brn red,head
doberman,blk,head
gold retriever,tan,unknown
pit bull,brn,body
pit bull,brn,body
pit bull,brindle,body
am bulldog,brindle,body
chichauhua,blk brn,body
pit bull,wht blk,head
germ shepherd,brn blk,body
cane corso,brn wht,body
other,tan,unknown
bichon frese,white,unknown
bullmastiff,tan blue,body
gold retriever,red,body
gold retriever,red,body
labrador retriv,tan wht,body
pit bull,brn wht,unknown
beagle,brn,body
dachshund,brown,unknown
pit bull,brown,body
fox terrier,blonde,head
yorkshire terrier,black,unknown
cattle dog,wht/blk,body
chichauhua,wht brn,body
chichauhua,brown,body
labrador retriv,blk,body
germ shepherd,blk brn,unknown
chichauhua,brn,body
scottish ter.,black,head
beagle,black,body
germ shepherd,blk brn,unknown
pit bull,NA,unknown
rottweiler,black,body
pit bull,NA,body
other,tan,body
pit bull,brindel,body
siberan husky,yellow,body
boxer,wht brn,body
pit bull,wht tan,head
pit bull,brindle,head
bouvier,black,body
boxer,tan blk,unknown
spitz,white,body
pit bull,wht blk,head
pit bull,black,body
germ shepherd,brown,body
english bulldog,red wht,unknown
min pin,blk brn,body
germ shepherd,tan blk,body
germ shepherd,tan wht,body
chichauhua,tan wht,unknown
weimaraner,gray,body
pit bull,gray,body
labrador retriv,yellow,unknown
beagle,brn blk wh,unknown
boxer,brn blk,body
cane corso,blk brn,head
germ shepherd,black tan,body
pit bull,blue wht,body
fox terrier,black whit,body
pomeranian,brn wht,head
border collie,NA,body
beagle,tan,body
labrador retriv,brn,unknown
pit bull,gray,body
chichauhua,tan,body
bullmastiff,blk wht,body
pit bull,blk whit,body
pit bull,gray,body
poodle,black,unknown
mastif,blue,body
gold retriever,blonde,head
germ shepherd,brn blk,body
bullmastiff,blk brn,body
beagle,white/brow,head
labrador retriv,brown,head
cane corso,brown,body
shih tzu,blk wht,body
border collie,bk wt br,body
pit bull,brn wht,body
pit bull,blk,body
border collie,wht blk,body
germ shepherd,tri,body
rat terrier,wht blk,NA
blood hound,brown,body
pit bull,whit gray,unknown
pug,blonde,head
boxer,brn wht,body
pit bull,wht brn,body
cattle dog,blk wht,head
labrador retriv,blk wht,head
siberan husky,white,body
min pin,black tan,body
pit bull,brindle,body
gold retriever,brn,head
golden lab,golden,head
shih tzu,blk/wht,head
coon hound,blk/tan,body
pit bull,brin/wht,body
bull dog,wht/blk,head
cattle dog,blk/wht,head
labrador retriv,blk,body
rottweiler,blk/tan,body
pit bull,brn,body
pit bull,brn,body
bull dog,brn/wht,body
shih tzu,gray/wht,body
pit bull,brn,body
bull dog,blk/brn/wh,head
chichauhua,tan,body
pit bull,blk,body
akita,wht blk,body
germ shepherd,NA,body
germ shepherd,NA,body
english setter,NA,head
yorkshire terrier,black,body
english shepard,blk brn,body
yorkshire terrier,brn gry,unknown
pit bull,brn wht,body
pit bull,tan,body
germ shepherd,brown,body
boston terrier,wht brnd,head
dachshund,brown,head
labrador retriv,golden,head
cane corso,gray wht,body
dalmatian,black wht,body
pit bull,gray,body
germ shepherd,NA,head
border collie,NA,unknown
beagle,red brn,body
border collie,blk wht,unknown
amer. bull dog,blk wht,body
shih tzu,white,head
boston terrier,blk wht,head
pit bull,tan,body
germ shepherd,tan blk,head
chichauhua,brown,head
germ shepherd,black,body
boxer,brn wht,body
pit bull,blue wht,body
pit bull,blk wht,body
pit bull,yello,body
germ shepherd,blk brn,body
pit bull,brn wht,body
doberman,brown,unknown
chichauhua,brn blk,body
pit bull,brindle,head
amer. bull dog,white,body
chichauhua,brn,unknown
labrador retriv,brn blk,body
germ shepherd,brn blk,head
cane corso,blk brn,body
pit bull,grey,unknown
germ shepherd,brn wht,body
rottweiler,blk,head
rottweiler,blk brn,head
chichauhua,brn,body
pit bull,gray blk,body
germ shepherd,blk tan,body
chichauhua,tan,body
beagle,tan wht,body
chichauhua,tan,unknown
germ shepherd,blk tan,body
pit bull,blue,body
catahoula,red gry,body
bullmastiff,br white,body
chichauhua,red brn,head
beagle,brn blk,head
shih tzu,white,body
labrador retriv,NA,body
chow chow,black,body
germ shepherd,NA,body
rat terrier,liver wht,body
bullmastiff,blk wht,body
labrador retriv,tan,body
beagle,NA,unknown
pit bull,NA,unknown
shih tzu,white,body
shih tzu,white,head
pit bull,blk wht,head
beagle,brn wht,body
english bulldog,wht blk,body
pit bull,blk wht,body
pit bull,gray wht,body
stan poodle,black,unknown
pomeranian,NA,body
pit bull,NA,body
bullmastiff,tan blk,body
yorkshire terrier,brown,body
maltase,white,head
pit bull,blonde,head
pit bull,brn,head
schnauzer,white,body
pit bull,black,body
siberan husky,brn wht,body
boxer,brindle,unknown
germ shepherd,brn blk,unknown
bichon frise,white,body
pit bull,brindle,head
amer. bull dog,brn white,body
pit bull,blk wht,body
pit bull,chocolate,head
pit bull,ble wht,body
pit bull,brindle,body
pit bull,gry wht,body
pit bull,whit brn,body
aaust. terr.,blk wht,head
pit bull,wt brm,body
pit bull,white,unknown
collie,NA,body
aaust. terr.,tri,body
boxer,wht blk,body
english bulldog,wht brn,body
pit bull,tan/wht,body
pit bull,brn/wht,unknown
boston terrier,NA,unknown
amer. bull dog,brn/brndl,head
beagle,brn wht,body
pit bull,blue,body
pomeranian,gold,body
pit bull,grey,body
gold retriever,blk,body
labrador retriv,brn,body
labrador retriv,brn,head
rottweiler,blk tan,body
pit bull,blue,head
rottweiler,black,body
labrador retriv,golden,body
siberan husky,blonde,head
labrador retriv,brown,body
pit bull,black,body
border collie,tan wht,body
labrador retriv,blk wht,body
labrador retriv,blk yellow,head
germ shepherd,blk brn,body
germ shepherd,brn,body
pit bull,black,head
germ shepherd,white,body
germ shepherd,white,body
yorkshire terrier,gry wht,body
pit bull,wht brn,body
pit bull,NA,body
germ shepherd,NA,body
boxer,brn,head
yorkshire terrier,gry wht,head
aaust. terr.,white,unknown
germ shepherd,blk gold,unknown
pit bull,brn wht,unknown
boxer,brn wht,body
boxer,brindle,unknown
pit bull,white tan,body
labrador retriv,brown,body
pomeranian,tan blk,head
germ shepherd,white,unknown
pit bull,gray wht,body
pit bull,grat wgt,body
dotson,black,body
dachshund,tan blk,body
pit bull,blk wht,body
germ shepherd,wht,body
pit bull,black,body
germ shepherd,blk,head
labrador retriv,black,body
pit bull,brn,unknown
germ shepherd,blk tan,body
pit bull,brn wht,body
pit bull,tan,unknown
poodle,white,body
beagle,wht tan,body
pit bull,gry wht,unknown
labrador retriv,tri,unknown
boxer,NA,head
rottweiler,NA,body
germ shepherd,blk brn,body
pit bull,NA,unknown
pit bull,brn wht,body
boxer,fawn,body
chichauhua,blonde,body
cocker spainel,NA,head
pit bull,blk wht,body
labrador retriv,blk,body
pit bull,brindle,body
greyhound,NA,head
pit bull,blk whte,body
rottweiler,blk brn,body
labrador retriv,NA,body
pit bull,NA,body
chichauhua,NA,body
pit bull,grey,body
germ shepherd,NA,body
labrador retriv,black,unknown
dachshund,blk brn,body
germ shepherd,blk brn,body
labrador retriv,brindle,head
chichauhua,white,head
great dane,blue gry,body
germ shepherd,black,body
shih tzu,wht blk,head
yorkshire terrier,NA,body
cane corso,brown,body
shih tzu,blk gry,body
english bulldog,brindle,unknown
pit bull,red,body
chichauhua,brn wht,unknown
pit bull,wht blue,head
boxer,white,body
labrador retriv,black,body
corgi,brown,unknown
beagle,wht blk,body
siberan husky,wht gry,body
chichauhua,white,body
pit bull,tan wht,body
shih tzu,blk wht,head
pit bull,blk wht,body
shih tzu,blk,body
labrador retriv,blonde,unknown
collie,red wht,head
chichauhua,brown,unknown
pit bull,gry blk,head
aaust. terr.,blk wht,body
labrador retriv,blk wht,unknown
pit bull,blk wht,body
beagle,brn wht,body
blood hound,red,body
chichauhua,brn wht,body
black lab,black,body
pit bull,blk wht,body
boxer,brindle,body
pit bull,brn wht,body
doberman,red brn,head
rat terrier,NA,head
labrador retriv,brn,head
germ shepherd,NA,body
germ shepherd,black,body
boxer,brn wht,body
boxer,brendel,body
other,brn/wht,body
pit bull,blk wht,body
germ shepherd,blk tan,body
pit bull,blk wht,body
min pin,brn,body
boxer,cream,body
boston terrier,blk wht,body
pit bull,gray,body
boxer,tan wht,NA
pit bull,brn wht,body
schnauzer,black,body
labrador retriv,black,unknown
boxer,NA,body
weimaraner,gray,head
chow chow,black,unknown
pit bull,white blk,body
pit bull,brindle,body
pit bull,NA,body
basset hound,brn blk w,head
pit bull,wht brn,body
pit bull,white brn,body
cane corso,brindle,body
germ shepherd,black,body
pit bull,wht tan,body
germ shepherd,tan wht,head
pit bull,brn wht,body
germ shepherd,white,body
chichauhua,black,head
boxer,brown,head
pit bull,blk wht,body
pit bull,brn blk,body
germ shepherd,brn blk,body
boxer,brindle,body
pit bull,gray,body
pit bull,blue,body
great dane,black,body
schnauzer,blk wht,body
labrador retriv,black,body
labrador retriv,blk tan,body
boxer,wht brn,head
pit bull,wht gry,body
pit bull,wht gry,body
poodle,brown,body
chichauhua,white/blac,body
boxer,wht & tan,body
germ shepherd,NA,body
siberan husky,white,NA
germ shepherd,NA,NA
boston terrier,blk wht,body
pit bull,brn wht,body
pit bull,NA,head
beagle,NA,body
aaust. terr.,NA,head
labrador retriv,brown,body
pit bull,white,body
poodle,black,unknown
beagle,wht brn bl,head
siberan husky,gray,unknown
pit bull,black,unknown
beagle,brn wht,body
beagle,brn wht,unknown
germ shepherd,blk tan,body
siberan husky,blk wht,body
pit bull,NA,body
pit bull,brd wht,body
labrador retriv,choc wht,body
labrador retriv,NA,unknown
pit bull,NA,body
pit bull,gray,unknown
cocker spainel,blk wht,head
pit bull,wht blk,body
germ shepherd,blk tan,body
germ shepherd,blak tan,body
schnauzer,wht gry,body
germ shepherd,gray,unknown
pit bull,blu wht,body
pit bull,blue wht,body
boxer,brn wht,body
irish setter,red,body
pit bull,blue,body
labrador retriv,brown,unknown
chichauhua,NA,unknown
germ shepherd,blk brn,unknown
yorkshire terrier,brown,body
germ shepherd,brn blk,body
beagle,NA,unknown
germ shepherd,brn blk,body
labrador retriv,brown,unknown
pit bull,NA,body
border collie m,black,body
labrador retriv,tan,body
boxer,NA,body
labrador retriv,blc white,body
akita,blk wht,unknown
shih tzu,white,unknown
pit bull,wht brn,body
siberan husky,white,body
pit bull,wht blk,head
labrador retriv,white,body
bull dog,wht blk,body
pit bull,NA,body
boxer,blk wht,head
pit bull,tan wht,body
labrador retriv,brown,body
bull dog,brn wht,body
great dane,black,body
doberman,brn blk,unknown
boxer,brown,unknown
mastif,black,unknown
pit bull,blk wht,body
pit bull,whit blk,body
great dane,blk wht,body
beagle,blk tan,body
poodle,white,unknown
beagle,NA,unknown
pit bull,brown,body
great dane,gray blk,unknown
dachshund,brown,body
cane corso,gry/blk,body
english bulldog,wte/brown,head
dachshund,blk/brn,body
bull dog,brn/wht,head
germ shepherd,blk/tan,body
pit bull,bwn/wht,body
blue heeler,blk/wht,unknown
bichon frese,white,body
mastif,brindle,body
germ shepherd,NA,unknown
pit bull,blk wht,body
pit bull,blk wht,body
bullmastiff,brn blk,unknown
pit bull,blk wht,body
aaust. terr.,brown,head
germ shepherd,blk brn,unknown
mastif,white,body
pit bull,grey,body
boxer,NA,unknown
schnauzer,blk wht,body
pit bull,wht blk,body
pit bull,brown,body
rottweiler,blk brn,body
rottweiler,blk brn,body
pit bull,brindle,body
shih tzu,gry wht,body
pit bull,NA,unknown
aaust. terr.,gray,head
pit bull,brindle wh,head
rottweiler,tan blk,unknown
pit bull,brindle,body
chichauhua,black,body
shih tzu,white gray,unknown
westie,NA,unknown
maltase,blk wht,body
chichauhua,brn wht,body
basset hound,brn wht,body
border collie,blk wht,head
border collie,blk wht,body
beagle,tri,body
beagle,tri,body
labrador retriv,NA,unknown
pit bull,brn wht,body
bull dog,tan wht,body
pit bull,blk wht,body
boston terrier,NA,NA
pit bull,brn white,unknown
toy poodle,NA,body
pit bull,blue,unknown
chow chow,red,body
pit bull,brn blk,unknown
husky,white,head
pit bull,NA,head
germ shepherd,brn blk,head
pit bull,wht brn,body
pit bull,white,unknown
boxer,NA,body
rottweiler,brown,body
pit bull,brn wht,head
chichauhua,tan brn,body
aaust. terr.,blk wht,body
pit bull,blk wht,body
aaust. terr.,black,unknown
labrador retriv,black,body
bull dog,blk brn,unknown
labrador retriv,yellow,body
gold retriever,yellow,body
pit bull,blue,body
labrador retriv,blk,body
rat terrier,wht brn,unknown
gold retriever,yellow,body
pit bull,red wht,body
chichauhua,brn,unknown
pit bull,tan wht,head
husky,red wht,unknown
french bulldog,NA,body
germ shepherd,brn blk,body
boxer,black,head
labrador retriv,black,head
germ shepherd,brn blk,body
sheltie,golden,head
boxer,red brnd,body
pit bull,brown,body
pit bull,white,body
germ shepherd,blk gry,body
pit bull,wht gry,body
pit bull,tan,body
pit bull,wht blk,head
germ shepherd,blk siv,body
pit bull,NA,body
pit bull,NA,body
pit bull,gray,unknown
pit bull,brown,body
labrador retriv,NA,NA
chichauhua,wht brown,body
beagle,brw/blk,body
siberan husky,white,body
germ shepherd,tan,body
dachshund,blk/tan,body
germ shepherd,brown,head
pit bull,NA,body
greyhound,black,NA
bichon frese,white,body
pit bull,blk brn,body
chow chow,tan,body
bernesen mt.,black,body
pit bull,brindle,body
pit bull,brown,body
pit bull,black,head
pit bull,brown/wht,body
pit bull,brindle/bl,body
doberman,blk/brn,body
pit bull,NA,body
pit bull,brn wht,body
pit bull,blue wht,body
mastif,black,body
chichauhua,wht tan,head
beagle,tri,unknown
pit bull,brn wht,body
pit bull,wht brn,body
black lab,NA,head
husky,white,body
pit bull,gray,body
pit bull,brn wht,body
pit bull,brown,body
pit bull,gry wht,body
blue heeler,NA,NA
pit bull,brindle,body
labrador retriv,brown,head
weimaraner,gray,unknown
pit bull,brown,body
black lab,black,body
boxer,fawn,body
germ shepherd,brn blk,body
aaust. terr.,blk brn,head
boxer,brn white,body
box terrier,brindle,unknown
pit bull,NA,body
mastif,tan,head
dachshund,red,body
am bulldog,black,body
pit bull,tan,body
beagle,red,body
labrador retriv,white,head
amer fox hound,tri,body
yorkshire terrier,NA,head
beagle,brn wht,unknown
cane corso,NA,unknown
rottweiler,tri,body
chow chow,yellow,body
dachshund,brown,body
pit bull,brown,body
coon hound,red,unknown
germ shepherd,NA,unknown
boxer,red,head
germ shepherd,NA,body
shih tzu,blk wht,body
pit bull,tri,body
pit bull,black,body
dachshund,blk tan,body
bull dog,NA,body
chichauhua,brn wht bl,unknown
germ shepherd,blk brn,body
aaust. terr.,blue,body
pit bull,gry whte,body
pit bull,gry wht,body
pit bull,brn wht,body
labrador retriv,yellow,body
pit bull,gry wht,body
shih tzu,blk gry,head
gold retriever,gold,unknown
pit bull,NA,unknown
pug,brown,body
labrador retriv,brown,body
yorkshire terrier,brown,body
irish wolfhound,blk wht,body
amer. bull dog,wht/brind,head
pit bull,tan wht,body
pit bull,NA,body
dachshund,red,unknown
pit bull,NA,NA
germ shepherd,blk brn,head
labrador retriv,tan,body
dotson,brown,head
boxer,brn blk,head
labrador retriv,blk wht,body
blue heeler,blk whte,body
black lab,black,head
english bulldog,brindle,head
labrador retriv,blk wht,head
samoyed,NA,NA
pit bull,blue wht,body
chichauhua,black,head
aaust. terr.,blk wht,body
malamute,blk wht,body
pit bull,white,body
other,NA,body
heeler,gry wht,body
labrador retriv,white,body
amer. bull dog,brn wht,body
boxer,fawn blk,body
am bulldog,white,body
schnauzer,gray,body
labrador retriv,black,body
aaust. terr.,NA,body
boxer,brown,head
great dane,NA,body
maltase,wht brn,unknown
akita,brn blk,head
germ shepherd,brn blk,body
chow chow,tan,body
border collie,blk wht,body
min pin,black brn,body
pit bull,brn wht,body
boston terrier,NA,body
rottweiler,blk brn,head
pit bull,blk wht,head
beagle,tri color,body
pit bull,brn,body
pit bull,brown,body
pit bull,brown,body
pit bull,brn,body
pit bull,brn wht,body
beagle,wht brn,body
coon hound,blk tan,unknown
weimaraner,brn gry,body
shih tzu,gray wht,head
shih tzu,blk wht,head
basset hound,black,head
pit bull,blk wht,body
aaust. terr.,NA,unknown
great dane,blk wht,body
maltase,white,body
pit bull,wht blk,unknown
pit bull,brown,body
boxer,black,body
pit bull,brown,head
beagle,tri,body
doberman,black,body
germ shepherd,tan blk,body
boxer,brn wht,body
pit bull,brindle,body
rat terrier,brindle,body
pit bull,NA,body
labrador retriv,blk wht,body
pit bull,wht blk,body
pit bull,wht tan,body
labrador retriv,black,head
bernesen mt.,blk wht br,NA
boxer,black,head
akita,brown,body
pit bull,black,body
pit bull,brown,body
pit bull,tan/brn,body
pit bull,grey/white,head
pit bull,blk wht,body
alask. malamute,blonde,body
labrador retriv,black,head
aaust. terr.,tri color,head
pit bull,blk wht,body
border collie,NA,body
labrador retriv,blk brn,body
pit bull,tan brn,body
boxer,white,body
aaust. terr.,wht blk,body
pit bull,blue wht,body
amer. bull dog,wht blk,head
germ shepherd,brn blk,body
am. eskimo,white,body
doberman,blk brn,body
pit bull,brown,body
pit bull,tan wht,body
alask. malamute,blk wht,body
doberman,choc tan,body
germ shepherd,blk tan,head
border collie,blk wht,NA
weimaraner,gray,body
cane corso,black,head
chichauhua,blk wht,head
pit bull,blue,body
labrador retriv,brown,body
pit bull,tan blk,body
pit bull,blk wht,body
pit bull,brown,body
gold retriever,golden,body
chichauhua,white,body
poodle,white,body
germ shepherd,blk tan,body
pit bull,wht blk,body
boxer,blk wht,body
doberman,brown,head
pit bull,wht,body
pit bull,NA,head
doberman,blk brn,body
pit bull,tan,body
boxer,brn wht,body
pit bull,NA,body
gold retriever,blonde,head
pomeranian,tan,body
germ shepherd,blk tan,body
boston terrier,blk wht,head
aaust. terr.,wht blk,body
pit bull,wht tan,head
pit bull,tan wht,body
pit bull,wht blk,body
greyhound,brindle,head
germ shepherd,black,body
pit bull,brn wht,body
pit bull,white,body
pit bull,NA,body
germ shepherd,white,body
pit bull,brn wht,body
pit bull,tan,body
havanese,black,body
cane corso,black,body
pomeranian,red wht,body
great dane,black,body
pit bull,white,body
corgi,brn/white,body
golden lab,tan org,head
pit bull,brn blk,head
maltase,whtie,body
labrador retriv,yellow,head
pit bull,brn wht,body
pit bull,brown,body
pit bull,brown,body
aaust. terr.,blk wht,body
pit bull,white,body
cane corso,black,body
black lab,black,body
chichauhua,tan,head
pomeranian,red,head
labrador retriv,brown,unknown
labrador retriv,blk wht,body
boxer,brn blk,body
