extension,meaning,open source
.AIFF or .AIF,Audio Interchange File Format (Apple),
.AU,Basic Audio,
.AVI,Audio Video Interleave (Microsoft),
.BAT,PC batch file,
.BMP,Windows BitMap,
.CLASS or .JAVA,Java files,
.CSV,"Comma separated, variable length file (Open in Excel)",yes
.CVS,Canvas,
.DBF,"dbase II, III, IV data",
.DIF,Data Interchange format,
.DOC or .DOCX,Microsoft Word for Windows/Word97,
.EPS,Encapsulated PostScript,
.EXE,PC Application,
.FM3,Filemaker Pro databases (the numbers following represent the version #),
.GIF,Graphics Interchange Format,Yes as of 2004
.HQX,Macintosh BinHex,
.HTM or .HTML,Web page source text Hypertext markup language,yes
.JPG or JPEG,JPEG graphic Joint Photographic Experts Group.(windows originally only accepted 3 characters in the extention),Yes
.MAC,MacPaint,
.MAP,Web page imagemap,
.MDB,MS Access database,
.MID or .MIDI,MIDI sound,
.MOV or .QT,QuickTime Audio/Video,
.MTB or .MTW,MiniTab,
.PDF,Acrobat -Portable document format,started as proprietary
.P65,"PageMaker (P=publication, number is the version)",
.T65,PageMaker (T=.template,
.PNG,Portable Network Graphics,
.PPT or .PPTX,PowerPoint,
.PSD,Adobe PhotoShop,
.PSP,PaintShop Pro,
.QXD,QuarkXPress,
.RA,RealAudio,
.RTF,Rich Text Format,
.SIT,Stuffit Compressed Archive,
.TAR,UNIX TAR Compressed Archive (tarball computer software utility for collectiong many files together into one archive…tar…sticky…get it?),
.TIF,TIFF graphic,
.TXT,ASCII text (Mac text does not contain line feeds--use DOS Washer Utility to fix),yes
.WAV,Windows sound,
.WK3,Lotus 1-2-3 (the numbers following represent the version #),
.WKS,MS Works,
WPD or .WP5,WordPerfect (the numbers following represent the version #),
.XLS or .XLSX,Excel spreadsheet,
.ZIP,PC Zip Compressed Archive,
",sas. ",SAS Program File,
.enl,Endnote Library,
.scriv,Scrivener,
0.123,Lotus 1-2-3 spreadsheet,
.sql,Structured Query Language Data File,
.jmp ,JMP Data Files,
.dta,Chain Engineering Database (default for STATA),
.r ,"R Script File (also Right Audio Channel File, Rez Source Code File, REBOL Script",
mov,Apple QuickTime Movie,
.mp3,MP3 Audio File (Moving Picture Experts Group Layer-3 Audio),yes
.mp4,Video File  (also as MPEG Layer-4 Audio),
.xml ,Extensible Markup Language (XML) is a markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable.,yes
.wav: ,wav audio file waveform audio file format,
ASCII: ,American Standard Code for Information Interchange,
JSON,(JavaScript Object Notation) is a lightweight data-interchange format. It is easy for humans to read and write. It is easy for machines to parse and generate.,
SVG ,a vector image format standardized by W3C,