region,year,count
Canada,1991,29748
Canada,1992,31115
Canada,1993,31282
Canada,1994,32071
Canada,1995,32157
Canada,1996,32155
Canada,1997,30669
Canada,1998,30983
Canada,1999,31294
Canada,2000,31683
Canada,2001,31618
Canada,2002,32507
Canada,2003,34336
Canada,2004,36480
Canada,2005,39504
Canada,2006,42582
Canada,2007,45147
Canada,2008,49455
Canada,2009,52340
Canada,2010,55293
Canada,2011,58304
Canada,2012,61561
Canada,2013,64695
Canada,2014,66168
Canada,2015,75133
Canada,2016,77563
Canada,2017,80160
Canada,2018,83645
Canada,2019,90071
Latin America,1991,10107
Latin America,1992,11136
Latin America,1993,11663
Latin America,1994,12400
Latin America,1995,14179
Latin America,1996,16125
Latin America,1997,18034
Latin America,1998,20418
Latin America,1999,22106
Latin America,2000,23850
Latin America,2001,24914
Latin America,2002,27170
Latin America,2003,29018
Latin America,2004,31177
Latin America,2005,33844
Latin America,2006,37307
Latin America,2007,45233
Latin America,2008,54109
Latin America,2009,58353
Latin America,2010,62045
Latin America,2011,68068
Latin America,2012,73644
Latin America,2013,76639
Latin America,2014,80189
Latin America,2015,108375
Latin America,2016,117359
Latin America,2017,125688
Latin America,2018,134774
Latin America,2019,145851
USA,1991,169945
USA,1992,169878
USA,1993,171055
USA,1994,170812
USA,1995,170659
USA,1996,167731
USA,1997,167198
USA,1998,234111
USA,1999,235963
USA,2000,239831
USA,2001,238535
USA,2002,242758
USA,2003,249078
USA,2004,259215
USA,2005,267069
USA,2006,280699
USA,2007,290164
USA,2008,309805
USA,2009,320626
USA,2010,337130
USA,2011,356717
USA,2012,371028
USA,2013,386573
USA,2014,395024
USA,2015,440148
USA,2016,452769
USA,2017,463905
USA,2018,484597
USA,2019,501683